ID,order_key,part_supply_ID,line_number,quantity,extended_price,discount,tax,return_flag,line_status,ship_date,commitment_date,receipt_date,ship_instructions,ship_mode,comments
43,783,93,3,3,60.5,0.2,6.54,N,Pending,2023-05-04,2023-11-04,2023-08-02,See word my true.,Sea,Wind measure hundred tend.
44,463,92,4,7,12.19,0.16,7.6,Y,Shipped,2023-09-19,2023-11-25,2024-02-07,Cut drop off especially try.,Sea,Director eight son eat wait behavior over.
45,65,157,5,10,37.89,0.09,3.84,N,Shipped,2023-04-21,2023-11-15,2023-05-31,Behavior might style poor serious speech speak.,Sea,Argue plan sister media we daughter let operation.
46,563,116,3,1,62.13,0.25,7.99,Y,Shipped,2023-08-19,2023-03-10,2024-01-16,Mind beautiful expect speak network treat behavior.,Land,Agree sister life against laugh world travel.
47,122,126,2,6,44.22,0.36,9.73,Y,Pending,2023-10-06,2024-02-07,2023-04-06,Speech plant service course kid.,Land,Single decision carry choose success job become.
48,894,189,2,1,67.26,0.46,3.41,Y,Pending,2023-04-19,2024-01-22,2023-10-26,Truth across wide activity follow.,Land,Admit child race indicate democratic former.
49,294,29,5,4,57.11,0.28,6.67,N,Pending,2023-10-06,2023-05-23,2024-02-09,Arm unit soon your get able house.,Sea,Determine watch tend after individual notice series special.
50,293,189,1,1,26.17,0.05,8.99,N,Shipped,2023-05-24,2023-03-08,2024-01-01,Series growth field respond consumer house trouble.,Land,Skin enough during make.
51,814,7,1,1,33.37,0.2,1.84,N,Shipped,2023-07-05,2023-02-22,2023-12-16,Toward would money mouth.,Air,Beat career nation someone shoulder former its morning.
52,745,107,5,6,47.08,0.27,6.27,Y,Shipped,2023-11-02,2023-11-21,2023-12-19,Address new process effort yet quite.,Sea,A apply subject model live police huge.
53,511,120,5,6,25.22,0.39,6.48,N,Pending,2024-01-08,2023-05-13,2023-10-27,Value sit modern wind stop yeah.,Air,Arrive line technology dog receive center safe your.
54,405,58,2,3,81.3,0.12,4.71,Y,Pending,2023-12-26,2023-06-02,2023-04-30,Property office woman want night seek attack.,Air,Least true on bill couple really.
55,949,174,2,2,77.6,0.1,9.36,Y,Pending,2023-03-09,2023-12-01,2024-02-09,But history power cultural we laugh course always.,Sea,Enter very create certainly information dinner.
56,167,123,2,3,51.92,0.09,9.31,N,Pending,2023-11-04,2023-11-10,2023-11-28,Pick field interest animal.,Sea,Ahead seem teacher never travel.
57,30,40,4,1,58.3,0.42,9.97,Y,Shipped,2023-11-24,2023-03-09,2023-08-13,On building fill discuss economic.,Sea,Child why energy economic represent tonight than green.
58,448,37,5,7,95.07,0.3,9.17,N,Shipped,2023-04-07,2023-12-07,2023-10-26,Group huge pretty skill happen particular.,Sea,Play trial dream factor candidate doctor.
59,513,154,1,1,32.67,0.31,9.54,N,Shipped,2023-06-16,2023-11-06,2023-12-06,Election without national discover stock room woman.,Air,Election some beyond unit image structure reflect.
60,661,194,4,3,23.53,0.31,7.9,N,Shipped,2023-08-01,2023-12-24,2023-07-16,Evening show pick price agency.,Sea,Mean easy system deal suggest speech nor.
61,463,104,2,6,91.84,0.49,6.79,Y,Pending,2023-10-31,2023-09-29,2023-10-03,Miss either them call interview offer most current.,Sea,Behind work today minute environment stage.
62,640,80,2,10,93.59,0.1,7.61,N,Pending,2023-07-29,2023-04-06,2023-03-26,Risk heavy cover current.,Land,International effort small able three city.
63,685,21,4,5,41.34,0.1,3.12,N,Pending,2023-05-28,2023-08-30,2023-05-26,Environment reveal fight.,Air,Or space reduce general myself thought.
64,979,184,4,4,49.78,0.06,2.67,Y,Pending,2023-10-31,2023-12-15,2024-01-01,Carry get break lay million.,Sea,Chair case end bit manager lay.
65,305,156,1,4,73.4,0.29,7.79,Y,Pending,2023-11-20,2023-12-19,2023-08-14,Receive language face economy small almost.,Land,Lose call like attorney evidence eye.
66,357,153,3,8,82.04,0.29,7.52,Y,Pending,2024-01-08,2023-11-16,2023-11-19,Second score activity old return.,Land,Computer according sometimes three scientist.
67,156,19,1,8,81.64,0.22,5.4,N,Shipped,2023-12-18,2023-09-28,2023-06-26,Worker far major.,Land,Move feeling leg computer performance.
68,573,194,1,1,60.36,0.26,1.63,N,Shipped,2023-03-15,2023-05-02,2023-09-22,Watch star recognize exactly evening black support.,Air,Ability deep question very like for.
69,189,176,1,7,95.53,0.24,6.54,Y,Shipped,2023-07-28,2023-08-16,2023-08-11,Fall investment give trip.,Land,Office simply feeling list argue.
70,275,69,2,3,86.66,0.23,4.36,Y,Shipped,2023-03-30,2023-05-31,2024-01-29,Value walk majority unit.,Sea,Benefit happy in local expect teacher fly.
71,735,165,1,10,74.29,0.27,8.02,N,Pending,2023-08-31,2024-02-13,2023-12-13,Not seek collection especially.,Sea,Than too control fall doctor.
72,895,158,4,8,43.62,0.08,6.86,N,Pending,2023-10-15,2024-01-03,2023-05-13,Mean deal between blood central shake cup.,Air,South industry be.
73,461,81,1,7,68.09,0.34,5.05,N,Pending,2023-03-08,2024-02-10,2023-03-05,Focus mind hospital show off.,Air,Bill rate give.
74,365,71,1,2,81.47,0.29,1.82,N,Pending,2023-05-08,2023-03-08,2023-12-21,Those voice author woman letter serve.,Sea,National shoulder to spend several party.
75,284,182,2,10,38.04,0.01,7.36,N,Shipped,2023-12-02,2023-04-17,2023-10-06,Part whether remain prove often image.,Sea,Type somebody age rule middle evidence purpose my.
76,320,69,1,1,83.95,0.29,1.68,N,Pending,2023-05-08,2023-05-14,2024-01-19,Resource away trial democratic book something low.,Air,Reveal dark myself nice statement.
77,999,155,2,6,19.95,0.32,2.77,Y,Pending,2023-12-14,2023-10-03,2024-01-21,Finally fear red.,Land,With someone production either say realize.
78,968,6,3,6,98.49,0.28,7.06,N,Shipped,2023-04-22,2023-06-10,2023-10-01,Also political should view camera religious.,Sea,Hard forward job top upon.
79,864,165,5,8,72.29,0.15,6.42,Y,Pending,2023-05-01,2023-12-30,2023-11-17,Street risk me fact particularly low three.,Sea,Recently car plant produce.
80,625,16,1,7,62.29,0.26,4.31,N,Pending,2023-10-02,2023-06-06,2023-02-14,Anything never few focus.,Land,Others gas operation wish choose media door theory.
81,197,77,3,1,14.61,0.22,7.37,Y,Pending,2024-01-12,2024-01-16,2024-01-27,You time race energy.,Sea,Education situation party develop.
82,977,102,5,9,36.25,0.27,1.23,N,Pending,2023-05-23,2024-01-06,2024-02-06,Know member campaign rate.,Air,Remain room sense sense think too result.
83,105,199,3,1,34.37,0.42,8.79,N,Pending,2023-10-09,2023-04-29,2023-04-23,Production upon interview west.,Land,Within mind report majority year.
84,577,5,4,6,58.39,0.03,1.82,Y,Pending,2023-04-10,2023-03-31,2023-05-02,Important note car fear.,Land,Attorney up produce first certain value too.
85,321,77,5,9,65.23,0.46,6.84,Y,Pending,2023-07-29,2023-05-23,2023-12-27,Mr population budget organization color.,Land,Concern key according common act.
86,468,19,4,2,31.95,0.22,6.26,Y,Pending,2023-05-29,2023-02-14,2023-11-30,Time or recently service control.,Sea,International throw fight five save close.
87,952,197,4,4,42.52,0.44,6.01,N,Pending,2024-01-15,2023-08-21,2023-11-25,Agency admit too begin measure.,Air,The author explain management.
88,252,172,2,4,29.6,0.43,2.41,Y,Shipped,2023-10-01,2023-11-28,2023-06-19,Air early ground manage month time where.,Air,Decide practice because dream.
89,479,156,4,9,75.29,0.24,9.27,Y,Shipped,2023-10-24,2023-07-21,2023-09-20,Turn deep too which catch put watch.,Sea,Power door and great.
90,259,63,3,6,79.84,0.06,3.34,Y,Shipped,2024-01-13,2023-06-10,2023-04-06,Provide require throughout western everything.,Sea,Education big add down sport.
91,211,68,4,9,73.48,0.18,9.76,Y,Pending,2023-07-26,2023-05-06,2023-07-19,Administration brother section.,Sea,West both strategy why voice.
92,832,179,4,10,49.43,0.23,8.22,Y,Pending,2023-12-09,2023-10-06,2023-08-07,Perform eye baby anything.,Sea,Perhaps media my live.
93,733,57,2,6,41.88,0.46,5.46,Y,Pending,2024-02-06,2023-03-11,2023-02-15,Our up in perhaps available keep.,Land,Community his red training.
94,337,179,4,6,17.26,0.44,2.15,Y,Shipped,2023-12-03,2023-04-23,2024-01-13,Million either raise time name.,Land,Able thing executive staff.
95,729,122,4,10,36.92,0.01,4.6,Y,Shipped,2023-07-23,2023-11-21,2024-02-10,Perform space participant.,Land,Score employee light six.
96,678,175,2,4,84.88,0.14,4.11,N,Shipped,2023-08-25,2023-08-02,2023-12-25,Whose interesting against particular create low.,Land,Sister determine with live water short defense.
97,817,76,3,2,75.78,0.09,1.29,Y,Pending,2023-03-11,2023-05-04,2023-08-31,Subject camera crime bar little should consumer.,Air,Window war tough history.
98,315,104,2,8,34.14,0.08,7.32,Y,Pending,2023-05-17,2023-02-25,2023-09-22,Able kid natural man.,Air,Pay finish another occur.
99,125,143,2,7,56.31,0.4,1.81,N,Pending,2023-09-08,2023-03-16,2024-01-19,Radio include scene local she other free.,Land,Boy possible two take.
100,39,38,5,7,76.19,0.07,5.92,Y,Pending,2023-12-27,2023-09-26,2023-12-21,Surface candidate simply source rise member those.,Sea,Financial federal any training minute while.
101,26,143,5,3,70.66,0.25,7.67,N,Pending,2024-02-07,2023-07-26,2023-11-09,Do thousand condition prevent attention.,Sea,Coach special billion issue.
102,394,55,4,9,11.28,0.31,9.94,Y,Shipped,2023-07-24,2024-01-07,2023-12-16,Knowledge along while national situation off.,Air,Want gas visit long too.
103,658,79,4,5,39.84,0.31,9.31,N,Pending,2023-06-01,2023-04-01,2023-12-01,Second message behavior suggest.,Air,Yard say sing.
104,198,27,3,5,86.66,0.2,5.02,N,Shipped,2023-11-14,2023-04-27,2023-08-18,First behavior politics each job everything story.,Sea,Produce operation eye sell.
105,370,92,3,10,48.39,0.18,3.82,Y,Shipped,2023-05-15,2023-07-25,2023-05-07,Trip of woman century final end investment.,Land,Provide size itself particular skin wear.
106,854,95,1,5,36.14,0.04,1.87,N,Pending,2023-12-18,2023-09-09,2023-09-14,Charge rich suddenly ago offer else.,Land,Thing scientist consider kind organization office environmental.
107,745,105,1,5,16.35,0.41,2.85,N,Shipped,2023-06-07,2023-11-09,2023-06-06,Present international drive impact.,Sea,Attention event decide democratic avoid.
108,267,58,3,6,15.01,0.22,2.57,Y,Shipped,2023-07-19,2023-03-03,2023-12-13,Anyone teach between myself trouble spring.,Land,Performance ground by ago figure because list.
109,106,190,4,5,42.21,0.41,8.27,N,Shipped,2023-03-07,2023-08-04,2024-01-16,Rock admit my reflect foreign.,Sea,No director from analysis religious.
110,627,47,5,10,97.84,0.35,5.62,N,Shipped,2023-04-22,2024-01-18,2023-08-02,Heavy reveal positive.,Sea,Eight mind low believe buy training.
111,973,37,4,1,87.77,0.4,5.55,Y,Shipped,2023-10-14,2023-11-26,2023-05-30,Her financial sport exactly treat various.,Air,Democratic develop drop good.
112,695,141,5,8,31.31,0.01,6.3,Y,Pending,2023-04-21,2023-12-22,2023-03-19,Which nearly five language purpose.,Air,War government down blood establish.
113,617,24,1,4,12.11,0.36,2.35,N,Pending,2023-05-25,2023-02-26,2023-03-21,Activity environmental language at.,Land,Quickly course toward cell upon southern official.
114,979,8,2,4,91.09,0.15,4.71,N,Pending,2023-11-30,2024-01-29,2023-06-12,Month body either draw dream.,Sea,Stay piece new sea drug project.
115,962,132,3,10,54.23,0.27,5.52,Y,Pending,2024-01-10,2023-07-02,2023-03-13,Water actually investment one trouble economy young.,Air,Professor argue few toward.
116,4,109,2,7,84.56,0.29,5.87,N,Shipped,2023-07-24,2023-10-07,2023-06-10,Part almost interview attack while no voice.,Air,Approach ball follow.
117,185,173,1,1,41.96,0.23,8.23,Y,Pending,2023-04-24,2023-09-25,2023-08-07,School machine floor feel as century care.,Air,Type build in effect democratic go offer.
118,960,199,5,6,31.76,0.05,2.21,N,Pending,2023-07-05,2023-05-02,2023-02-23,Look often plant firm challenge it that.,Land,Work loss daughter into five behind business.
119,433,47,3,7,64.71,0.31,4.11,Y,Shipped,2023-09-10,2023-08-05,2024-02-05,Charge interview expect tell.,Sea,Sort poor social foot which.
120,427,158,2,6,90.56,0.42,6.16,Y,Shipped,2024-01-19,2023-10-11,2023-09-20,Produce popular medical rather own carry.,Land,Myself wrong break teach.
121,455,9,1,1,20.81,0.31,5.57,N,Pending,2023-03-28,2023-09-10,2023-10-01,Officer during green write.,Air,When hand hospital share tend those party we.
122,856,172,5,1,52.08,0.15,7.31,Y,Pending,2023-05-30,2024-01-13,2023-11-20,Go process management action area perhaps participant.,Air,Describe production morning when interview next.
123,791,61,3,6,64.29,0.41,4.3,Y,Shipped,2023-05-13,2024-01-27,2024-01-24,Sea month until all.,Sea,Positive worry commercial heavy resource should.
124,510,16,2,5,12.98,0.07,8.48,Y,Pending,2023-05-22,2023-11-24,2024-01-21,Human argue position mission someone employee size thing.,Sea,North process answer organization respond lawyer.
125,10,22,3,9,11.06,0.14,4.07,N,Shipped,2023-04-04,2023-04-02,2023-09-27,Expect fast power hit enjoy join company dog.,Land,Police president industry.
126,768,28,4,8,96.99,0.24,2.5,N,Shipped,2023-11-16,2023-04-16,2023-02-26,Determine goal sense game already drop cold.,Sea,Social special other either good.
127,465,86,3,5,25.56,0.0,8.19,N,Shipped,2023-07-26,2023-03-29,2024-01-24,Everyone next social from popular world detail.,Air,Only agree really guy result thought.
128,237,70,1,5,82.71,0.37,2.21,Y,Shipped,2023-09-17,2023-03-19,2023-04-27,Important clear on it.,Sea,They quickly hair gas.
129,725,150,1,10,80.89,0.08,7.68,Y,Shipped,2023-04-21,2023-06-24,2023-03-02,The those onto authority here full.,Land,Future child old none likely ago.
130,808,24,2,4,16.85,0.21,7.84,Y,Pending,2023-03-06,2023-09-19,2023-02-25,Education work hard sound.,Sea,Into could drug.
131,199,143,5,6,30.42,0.08,1.98,N,Pending,2023-09-03,2023-10-30,2023-07-15,Beat still PM difference.,Sea,Movement hope past science night provide factor.
132,734,56,3,9,82.95,0.04,3.56,N,Pending,2023-09-02,2023-12-13,2023-06-02,Dark bar its.,Land,Run officer expect decide level direction enjoy.
133,53,67,3,1,58.07,0.14,4.42,Y,Shipped,2023-05-03,2023-10-31,2023-04-27,Anyone professional political senior within get different.,Air,Herself ten scene.
134,338,45,5,5,93.44,0.46,4.66,Y,Shipped,2023-10-29,2023-07-06,2023-07-24,Outside question take sing school system operation.,Air,Office present put peace dark decide only.
135,350,16,4,4,67.57,0.43,6.61,N,Pending,2023-08-27,2023-02-23,2024-01-20,Music think decision medical power maintain.,Sea,Agency rate next wall send agreement.
136,496,133,1,1,30.25,0.32,2.93,Y,Pending,2023-08-17,2023-06-12,2023-09-15,Dream realize camera up.,Sea,Mr protect north.
137,637,84,5,10,24.32,0.08,7.22,Y,Pending,2023-05-25,2023-10-20,2023-12-17,Home others choose week wear alone.,Sea,Keep value later shake.
138,149,103,3,4,96.23,0.46,2.72,Y,Pending,2023-06-19,2023-04-01,2023-07-16,Season lose small left director.,Land,Organization space training ago explain move quality.
139,346,162,5,4,45.56,0.21,1.47,Y,Shipped,2024-02-11,2023-08-28,2023-05-23,News quite someone market.,Sea,Sound should provide political try.
140,774,192,2,9,67.67,0.04,3.73,N,Shipped,2023-05-04,2023-12-04,2023-11-10,Determine determine information close face.,Land,Would easy medical improve great more ask.
141,640,68,1,4,21.35,0.45,8.0,Y,Pending,2023-11-10,2024-01-25,2023-08-16,Human form safe artist.,Sea,Its successful mouth nice.
142,107,97,3,6,44.7,0.49,9.37,Y,Pending,2023-08-08,2023-04-20,2023-05-22,Or follow word doctor maintain.,Sea,Teacher owner dinner nice.
143,857,114,5,7,36.2,0.42,7.81,N,Pending,2023-09-18,2023-08-28,2023-03-28,Total central star kitchen.,Air,On hundred thus fall when city.
144,88,88,3,7,94.67,0.18,4.48,N,Shipped,2023-04-12,2024-02-06,2023-05-09,Movie cultural event paper you safe morning.,Air,Station investment exactly difference identify suddenly they citizen.
145,662,37,4,6,50.95,0.49,7.71,N,Pending,2023-11-23,2023-12-04,2023-10-25,Bad record head statement exist fill call doctor.,Land,Arrive everyone sure player remember.
146,170,194,1,7,14.94,0.16,4.93,Y,Pending,2023-11-12,2023-11-30,2023-07-19,Message look decision prove unit enjoy.,Air,Whatever end allow house thank I present many.
147,516,195,2,1,95.74,0.34,2.97,N,Shipped,2023-05-24,2023-10-03,2024-01-24,So take look north.,Land,Well best young cut.
148,452,67,1,6,95.36,0.04,7.86,Y,Pending,2023-03-19,2023-07-28,2024-01-13,Door piece up hair toward cell.,Land,Community between quality skin boy full lawyer.
149,386,15,1,7,38.33,0.03,1.47,Y,Shipped,2023-06-04,2024-01-13,2023-03-28,Pick send grow.,Land,Guy past hand design family least reduce.
150,386,170,2,2,90.13,0.33,4.24,Y,Pending,2023-02-14,2024-01-10,2023-09-05,For Congress car night should especially foot.,Land,Word manager final candidate.
151,776,198,5,8,49.92,0.24,9.99,N,Shipped,2023-09-15,2023-11-07,2024-01-25,Always partner alone moment hope after.,Sea,Thought few miss if.
152,201,66,3,5,56.26,0.16,8.64,Y,Shipped,2023-08-08,2023-02-15,2023-09-30,Into vote article fact.,Land,In bar laugh employee program.
153,442,85,1,5,53.37,0.11,4.01,N,Shipped,2023-12-25,2023-08-23,2023-04-03,Whether term yard hand street this.,Sea,Parent find relationship in.
154,277,110,2,8,58.92,0.2,9.44,Y,Shipped,2023-09-07,2023-05-20,2023-10-29,Himself somebody someone character.,Sea,Forget quickly sure.
155,986,139,3,9,38.81,0.1,1.94,N,Pending,2023-09-30,2023-08-26,2023-11-16,Must type full range.,Air,Speak window yourself responsibility stuff present answer.
156,957,48,5,1,84.16,0.0,8.5,N,Shipped,2023-08-12,2023-05-23,2023-09-07,First pretty along quite cover other.,Land,Sell himself someone wind record career entire.
157,551,167,4,3,92.03,0.17,2.8,Y,Pending,2023-10-30,2023-07-30,2023-07-11,War eye move.,Land,Far lawyer successful attention suddenly listen be.
158,980,91,4,4,74.31,0.02,6.77,Y,Shipped,2023-08-31,2023-08-27,2023-11-19,Energy tell newspaper today here.,Land,Herself worry fine chance article.
159,232,83,4,3,38.92,0.06,8.48,N,Shipped,2023-02-26,2023-11-16,2023-11-29,Stuff fire those discover.,Land,Out get Mrs choice we.
160,895,33,2,3,62.8,0.38,8.72,N,Shipped,2023-08-29,2023-09-29,2023-03-08,Front glass mother movie notice prove discuss most.,Land,Against certain effort director market rather doctor remain.
161,691,200,2,8,62.4,0.29,7.38,Y,Pending,2023-10-27,2023-07-13,2023-05-24,Moment news trouble action occur.,Sea,When bag use process certain.
162,24,112,1,7,13.92,0.05,5.69,Y,Pending,2023-11-03,2023-11-07,2023-11-03,See tell suffer do identify court know specific.,Land,Clear computer fine above network.
163,146,151,4,6,77.01,0.22,4.4,Y,Pending,2023-08-01,2023-10-16,2023-11-27,Kitchen here call interview.,Sea,Sit TV example citizen.
164,109,65,5,5,48.6,0.22,7.05,N,Pending,2023-07-08,2023-12-24,2023-05-03,Example idea along white agree get until local.,Land,Break have professional would other article.
165,630,158,2,9,33.62,0.29,6.35,N,Pending,2023-03-16,2023-06-26,2023-07-25,Small large past voice person blue support official.,Sea,Walk treat through establish.
166,33,128,4,8,22.0,0.07,6.74,N,Pending,2024-01-30,2023-10-27,2023-11-14,Eight career safe indeed accept.,Land,To event game thus nature put wide.
167,12,128,3,1,37.18,0.49,2.39,N,Shipped,2023-07-20,2023-10-04,2024-01-30,Box give four actually amount term remember.,Sea,Popular mouth growth always fast.
168,194,38,1,2,22.39,0.09,4.99,Y,Shipped,2023-06-07,2023-09-27,2023-08-19,Different return measure.,Air,Financial make court morning.
169,964,128,3,9,95.92,0.1,9.49,Y,Pending,2023-07-16,2023-06-28,2023-04-07,Range chair standard.,Land,Ten middle moment animal.
170,649,55,3,8,79.65,0.28,4.66,N,Shipped,2023-04-10,2023-11-30,2023-05-10,Think particularly recognize get positive possible sure.,Sea,Nature relationship tax pick might somebody room.
171,432,32,1,10,18.99,0.15,1.25,Y,Pending,2023-09-07,2023-11-02,2023-12-09,Leg cell according apply.,Land,Ball process that.
172,819,80,2,2,52.11,0.34,1.83,N,Shipped,2024-02-02,2023-07-04,2023-11-20,Four court against move really course.,Air,Detail media serious state people show.
173,151,34,2,3,83.65,0.14,5.08,N,Pending,2023-04-11,2023-04-08,2023-05-06,Way main teach available clearly big.,Air,World bill top camera level table need.
174,233,124,1,9,12.36,0.16,4.26,N,Shipped,2023-04-14,2023-08-15,2024-01-19,Discussion view body trial work.,Land,Commercial since style teacher.
175,899,161,4,7,49.63,0.03,8.48,N,Pending,2024-02-01,2023-03-08,2023-12-16,Five arm source.,Air,But your little forget factor.
176,873,94,2,4,28.64,0.14,5.01,N,Pending,2024-01-22,2023-04-20,2023-11-22,Each recognize family.,Land,Staff stuff candidate case executive investment.
177,371,44,1,5,50.77,0.07,9.03,N,Shipped,2023-06-04,2023-02-27,2023-04-12,List nor lead human road wall.,Land,Wrong during candidate all hope model.
178,508,21,4,7,88.09,0.32,6.37,N,Pending,2023-07-30,2023-09-23,2023-09-22,International item relationship affect product though prepare.,Land,Force fear always region American.
179,37,28,1,9,61.91,0.5,6.86,N,Pending,2024-01-20,2023-10-17,2023-05-14,Land house nature interview decade central arrive.,Land,Pm surface he start claim continue person.
